token,brand,confidence,n_queries
otel,varol,0.75,4
rampage,rampage,1.0,4
okyanus,okyanus,1.0,4
bilgisi,yargı,0.75,4
test,fenomen,0.75,4
starbucks,starbucks,1.0,4
clinique,clinique,1.0,4
syoss,syoss,1.0,4
setrms,setrms,1.0,4
dambıl,ecg,0.75,4
tuğba,tuğba,1.0,4
maybeline,maybelline,1.0,4
oturağı,ponçik,0.75,4
fairy,fairy,1.0,4
güral,güral,1.0,4
tupperware,tupperware,1.0,4
sling,kubbe,1.0,4
epson,epson,1.0,4
satranç,cooper,0.75,4
seer,dark,1.0,4
süperstar,adidas,1.0,4
omo,omo,1.0,4
mastermaid,karaca,1.0,4
soğutucu,rampage,0.75,4
flying,flying,1.0,4
copenhagen,flying,1.0,4
bilgi,bilgi,1.0,4
sarmal,bilgi,1.0,4
rayban,ray-ban,1.0,4
organik,hipp,0.75,4
eda,eda,1.0,4
ipl,braun,0.75,4
linens,linens,1.0,4
kiler,mobilique,0.75,4
motoru,germany,0.75,4
setre,setre,1.0,4
hiccup,hiccup,1.0,4
akım,viko,0.75,4
fullamoda,fulla,1.0,4
ray,ray-ban,0.75,4
antifriz,goodyear,0.75,4
mammamia,mammamia,1.0,4
elart,elart,1.0,4
sivit,blackbonds,0.75,4
futbolcu,dokuzyayinlari,0.75,4
nars,nars,1.0,4
imza,imza,0.75,4
vivense,vivense,1.0,4
estee,estee,1.0,4
sümer,sümer,1.0,4
oksidan,maxx,0.75,4
gues,guess,1.0,4
kale,kale,1.0,4
timaş,timaş,1.0,4
pip,pip,1.0,4
timberland,timberland,1.0,4
şofben,veito,0.75,4
tabakları,paşabahçe,1.0,4
madam,madame,1.0,4
xbox,microsoft,1.0,4
tenisi,loki,0.75,4
viko,viko,1.0,4
kulaküstü,jbl,0.75,4
hills,hill's,0.75,4
onvo,onvo,1.0,4
xenon,photon,1.0,4
harley,harley,1.0,4
professional,nyx,0.75,4
ranza,teknikgenç,1.0,4
tutku,tutku,1.0,4
miu,miu,1.0,4
varol,varol,1.0,3
felix,felix,1.0,3
bulaşıklık,teknotel,1.0,3
cooker,cooker,1.0,3
ray-ban,ray-ban,1.0,3
celebre,avon,1.0,3
forelli,forelli,1.0,3
agv,agv,1.0,3
terrex,adidas,1.0,3
tansiyon,omron,1.0,3
buketi,blackrosehediye,1.0,3
gazelle,adidas,1.0,3
hayalperest,hayalperest,1.0,3
gigabyte,gigabyte,1.0,3
709,bargello,1.0,3
barrel,defacto,1.0,3
kamiz,kamiz,1.0,3
salıncağı,svava,1.0,3
koleston,wella,1.0,3
esrahelvaci,esrahelvaci,1.0,3
chloe,chloe,1.0,3
ysl,yves,1.0,3
jump,jump,1.0,3
just,just,1.0,3
kosova,kosova,1.0,3
elektro,ibanez,1.0,3
terex,adidas,1.0,3
r16,goodyear,1.0,3
söğütlü,söğütlü,1.0,3
eymense,eymense,1.0,3
fosil,fossil,1.0,3
lipton,lipton,1.0,3
nescafe,nescafe,1.0,3
mobilique,mobilique,1.0,3
skip,skip,1.0,3
hop,skip,1.0,3
tırmalama,petitoys,1.0,3
franke,franke,1.0,3
sateen,sateen,1.0,3
cybex,cybex,1.0,3
yoga,delta,1.0,3
alet,bosch,1.0,3
bianco,bianco,1.0,3
lucci,bianco,1.0,3
versace,versace,1.0,3
vienev,vienev,1.0,3
incandessence,avon,1.0,3
logitech,logitech,1.0,3
thermoad,thermoad,1.0,3
ayhanhome,ayhanhome,1.0,3
nuss,nuss,1.0,3
steelseries,steelseries,1.0,3
parex,parex,1.0,3
chelsea,derimod,1.0,3
jument,jument,1.0,3
eca,eca,1.0,3
clarks,clarks,1.0,3
massimo,massimo,1.0,3
dutti,massimo,1.0,3
nerf,nerf,1.0,3
oduncu,defacto,1.0,3
hawk,hawk,1.0,3
baglovis,baglovis,1.0,3
215,lassa,1.0,3
frudia,frudia,1.0,3
babyliss,babyliss,1.0,3
üflemeli,babyliss,1.0,3
schwarzkopf,schwarzkopf,1.0,3
simfer,simfer,1.0,3
uno,uno,1.0,3
harfi,atolyezone,1.0,3
paulmark,paulmark,1.0,3
dolu,dolu,1.0,3
brita,brita,1.0,3
kinder,kinder,1.0,3
takimi,strawberry,1.0,3
y101,mad,1.0,3
shimano,shimano,1.0,3
derby,derby,1.0,3
dedektif,dedektifia,1.0,3
gıpta,gıpta,1.0,3
bepanthol,bepanthol,1.0,3
artema,artema,1.0,3
ahlatcı,ahlatcı,1.0,3
touche,touché,1.0,3
kundak,omy,1.0,3
dockers,dockers,1.0,3
asetat,kadir,1.0,3
romand,romand,1.0,3
ariel,ariel,1.0,3
antioch,antioch,1.0,3
mabelle,le,1.0,3
hotwheels,hot,1.0,3
evpanya,evpanya,1.0,3
bien,bien,1.0,3
jogger,koton,1.0,3
alvina,alvina,1.0,3
185,starmaxx,1.0,3
dunk,nike,1.0,3
rani,rani,1.0,3
palmolive,palmolive,1.0,3
pure,pure,1.0,3
ortanca,yapay,1.0,3
nintendo,nintendo,1.0,3
trabzonspor,trabzonspor,1.0,3
barbour,barbour,1.0,3
kordonu,fibaks,1.0,3
citizen,citizen,1.0,3
piranha,piranha,1.0,3
ttec,ttec,1.0,3
hünnap,hünnap,1.0,3
marshall,marshall,1.0,3
photon,photon,1.0,3
puane,puane,1.0,3
mizuno,mizuno,1.0,3
svit,defacto,1.0,3
tonny,tonny,1.0,3
hipp,hipp,1.0,3
burberry,burberry,1.0,3
kütahya,kütahya,1.0,3
würth,würth,1.0,3
blade,blade,1.0,3
8000,philips,1.0,3
alyan,eltos,1.0,3
masion,bella,1.0,3
ea7,ea7,1.0,3
giorgio,giorgio,1.0,3
orzax,orzax,1.0,3
brillant,brillant,1.0,3
kasket,göksu,1.0,3
olaplex,olaplex,1.0,3
bagi,bagi,1.0,3
forum,adidas,1.0,3
çeyizlik,ayhanhome,1.0,3
doqu,doqu,1.0,3
seiko,seiko,1.0,3
victorinox,victorinox,1.0,3
ban,ray-ban,1.0,3
guja,guja,1.0,3
davines,davines,1.0,3
lovelyistanbul,lovelyistanbul,1.0,3
spezial,adidas,1.0,3
delta,delta,1.0,3
twigy,twigy,1.0,3
dayson,dyson,1.0,3
misina,fujin,1.0,3
ütüsü,kiwi,1.0,3
ayakları,badem10,1.0,3
cacharel,cacharel,1.0,3
ps3,sony,1.0,3
silverline,silverline,1.0,3
salcano,salcano,1.0,3
senna,senna,1.0,3
güvenal,güvenal,1.0,3
yiğit,yiğit,1.0,3
daxtors,daxtors,1.0,3
havit,havit,1.0,3
elvan,elvan,1.0,3
poco,poco,1.0,3
lahmacun,karaca,1.0,3
cenk,cenk,1.0,3
misha,missha,1.0,3
aker,aker,1.0,3
yui,yui,1.0,3
tuşlu,nokia,1.0,3
yds,yds,1.0,3
efendi,mehmet,1.0,3
kabi,vienev,1.0,3
swatch,swatch,1.0,3
kolej,defacto,1.0,3
ferre,ferre,1.0,3
nespresso,nespresso,1.0,3
dell,dell,1.0,3
soğanlık,ego,1.0,3
sipor,soho,1.0,3
meta,meta,1.0,3
quest,meta,1.0,3
prada,prada,1.0,3
diyarı,çeyiz,1.0,3
ceyo,ceyo,1.0,3
değirmen,technojet,1.0,3
pioneer,pioneer,1.0,3
volta,volta,1.0,3
d&p,d&p,1.0,3
122,bargello,1.0,3
porselenden,porselenden,1.0,3
robx,robx,1.0,3
gillette,gillette,1.0,3
taktik,5.11,1.0,3
engin,yargı,1.0,3
eraydın,yargı,1.0,3
natural,og,1.0,3
tcl,tcl,1.0,3
f50,adidas,1.0,3
vivo,vivo,1.0,3
phone,apple,1.0,3
nazenintasarımlar,nazenintasarımlar,1.0,3
beli,defacto,1.0,3
curaprox,curaprox,1.0,3
dji,dji,1.0,3
davidson,harley,1.0,3
makeup,nyx,1.0,3
polisan,polisan,1.0,3
sökücü,domol,1.0,3
thalia,thalia,1.0,3
manga,gerekli,1.0,3
gizia,gizia,1.0,3
dermoskin,dermoskin,1.0,3
kitchenaid,kitchenaid,1.0,3
disk,toshiba,1.0,3
