term_id,query,normalized,brand,brand_conf,gender,age_range,colors,sizes,materials,product_tokens
TERM_f25a9033,tecno,tecno,tecno,1.0,,,,,,
TERM_80281c07,vaseline nemlendirici,vaseline nemlendirici,vaseline,1.0,,,,,,nemlendirici
TERM_1293e9a9,şamdan mum,şamdan mum,,0.0,,,,,,şamdan mum
TERM_9c59999f,hurç,hurç,,0.0,,,,,,hurç
TERM_2b1b328c,ahşap panel,ahşap panel,,0.0,,,,,ahşap,panel
TERM_76aa5d67,tuzluk,tuzluk,,0.0,,,,,,tuzluk
TERM_10ed34d4,off road,off road,,0.0,,,,,,off road
TERM_db223eb9,etro,etro,,0.0,,,,,,etro
TERM_3f25df47,sihirli sabun,sihirli sabun,,0.0,,,,,,sihirli sabun
TERM_440c9cd3,kız çocuk eşyaları,kız çocuk eşyaları,,0.0,kadın,çocuk,,,,eşyaları
TERM_530ab501,celleanser,celleanser,,0.0,,,,,,celleanser
TERM_6a9ead20,kılıç,kılıç,,0.0,,,,,,kılıç
TERM_4f3896b9,metal saksı,metal saksı,,0.0,,,,,metal,saksı
TERM_77f6b30c,acı kahve kemer,acı kahve kemer,,0.0,,,,,,acı kahve kemer
TERM_a6366726,bone sante kemik ve ilik suyu,bone sante kemik ve ilik suyu,,0.0,,,,,,bone sante kemik ilik suyu
TERM_53c2af66,peştemal bornoz,peştemal bornoz,,0.0,,,,,,peştemal bornoz
TERM_11cb84b2,hot wheels mclaren,hot wheels mclaren,hot,1.0,,,,,,wheels mclaren
TERM_db12f6e7,aktivite önlüğü,aktivite önlüğü,,0.0,,,,,,aktivite önlüğü
TERM_f64b9eb0,miamor,miamor,,0.0,,,,,,miamor
TERM_e448d1cd,sleepy yüzey temizlik havlusu,sleepy yüzey temizlik havlusu,sleepy,1.0,,,,,,yüzey temizlik havlusu
TERM_e49557d8,makyaj temizleyici,makyaj temizleyici,,0.0,,,,,,makyaj temizleyici
TERM_6e0da4a3,kulaktan ateş ölçer,kulaktan ateş ölçer,,0.0,,,,,,kulaktan ateş ölçer
TERM_d1f05ddf,go,go,,0.0,,,,,,
TERM_9736ec15,bira mayası,bira mayası,,0.0,,,,,,bira mayası
TERM_0e1df909,12+ yaş oyuncak,12+ yaş oyuncak,,0.0,,,,,,yaş oyuncak
TERM_a7d2b58f,pembe tesettür takım,pembe tesettür takım,,0.0,,,pembe,,,tesettür takım
TERM_6730aab8,demir raf,demir raf,,0.0,,,,,,demir raf
TERM_07f90279,paşabahçe bardak seti,paşabahçe bardak seti,paşabahçe,1.0,,,,,,bardak seti
TERM_ce6bb3ec,samsung s21,samsung s21,samsung,0.948,,,,,,s21
TERM_d32a1e77,tefal tost makinesi,tefal tost makinesi,tefal,1.0,,,,,,tost makinesi
TERM_08652682,beyaz şifon gömlek,beyaz şifon gömlek,,0.0,,,beyaz,,,şifon gömlek
TERM_50b1c1c1,yenilebilir pasta süsü,yenilebilir pasta süsü,,0.0,,,,,,yenilebilir pasta süsü
TERM_9ccaf76a,reflex köpek ödül maması,reflex köpek ödül maması,reflex,1.0,,,,,,köpek ödül maması
TERM_b0a695a7,karaca ekmek kutusu,karaca ekmek kutusu,karaca,1.0,,,,,,ekmek kutusu
TERM_19ab7aaa,bayan kışlık mont,bayan kışlık mont,,0.0,kadın,,,,,kışlık mont
TERM_ce457a47,çizme bot,çizme bot,,0.0,,,,,,çizme bot
TERM_6adcf296,emaye kase,emaye kase,,0.0,,,,,,emaye kase
TERM_de628bcc,lc waikiki erkek çocuk pijama takımı,lc waikiki erkek çocuk pijama takımı,lc,1.0,erkek,çocuk,,,,pijama takımı
TERM_eb461a39,kaşe blazer,kaşe blazer,,0.0,,,,,,kaşe blazer
TERM_e8c44bd7,vileda paspas ve mop,vileda paspas ve mop,vileda,1.0,,,,,,paspas mop
TERM_caad21cf,karaca home dekoratif tabak & kase,karaca home dekoratif tabak & kase,karaca,1.0,,,,,,home dekoratif tabak kase
TERM_4a6f6886,philips avent antikolik biberon,philips avent antikolik biberon,philips,1.0,,,,,,avent antikolik biberon
TERM_35df8b47,küçük tabak,küçük tabak,,0.0,,,,,,tabak
TERM_1187170a,kablolu mouse,kablolu mouse,,0.0,,,,,,kablolu mouse
TERM_c6a1eac7,eğitici kitap,eğitici kitap,,0.0,,,,,,eğitici kitap
TERM_ab39d548,kablolu bluetooth kulaklık,kablolu bluetooth kulaklık,,0.0,,,,,,kablolu bluetooth kulaklık
TERM_0e607341,ikea skubb,ikea skubb,ikea,1.0,,,,,,skubb
TERM_030653cc,fagor düdüklü tencere,fagor düdüklü tencere,,0.0,,,,,,fagor düdüklü tencere
TERM_255c1825,kedi gözü takma tırnak,kedi gözü takma tırnak,,0.0,,,,,,kedi gözü takma tırnak
TERM_0557b771,arow sıvı sabunluk,arow sıvı sabunluk,arow,1.0,,,,,,sıvı sabunluk
TERM_6e587520,saten kıvırcık saç bonesi,saten kıvırcık saç bonesi,,0.0,,,,,,saten kıvırcık saç bonesi
TERM_8062d704,siyah deri ceket,siyah deri ceket,,0.0,,,siyah,,deri,ceket
TERM_335546e8,erkek bebek kot pantolon,erkek bebek kot pantolon,,0.0,erkek,bebek,,,,kot pantolon
TERM_b1bf074b,masa sunumluk,masa sunumluk,,0.0,,,,,,masa sunumluk
TERM_0c20879b,beyaz tesettür pantolon,beyaz tesettür pantolon,,0.0,,,beyaz,,,tesettür pantolon
TERM_317aab3d,yamaha gitar,yamaha gitar,yamaha,1.0,,,,,,gitar
TERM_8e85c551,hırka modelleri,hırka modelleri,,0.0,,,,,,hırka modelleri
TERM_cbc9df5c,yeni doğan kız bebek,yeni doğan kız bebek,,0.0,kadın,bebek,,,,yeni doğan
TERM_fed7f390,h&m çocuk tulum,h&m çocuk tulum,h&m,1.0,,çocuk,,mtekstil_beden,,tulum
TERM_fa734593,tırmanma duvarı,tırmanma duvarı,,0.0,,,,,,tırmanma duvarı
TERM_0078440f,bebek lastikli çarşaf,bebek lastikli çarşaf,,0.0,,bebek,,,,lastikli çarşaf
TERM_1d2fbc78,adidas kadın beyaz spor ayakkabı,adidas kadın beyaz spor ayakkabı,adidas,1.0,kadın,,beyaz,,,spor ayakkabı
TERM_a6a651e2,kristal mentol,kristal mentol,,0.0,,,,,,kristal mentol
TERM_a4e8aa88,dilvin blazer,dilvin blazer,dilvin,1.0,,,,,,blazer
TERM_1456ee37,guruss mangal,guruss mangal,,0.0,,,,,,guruss mangal
TERM_15b4bb5e,kadın küpe,kadın küpe,,0.0,kadın,,,,,küpe
TERM_c696a9c6,çocuk topuklu,çocuk topuklu,,0.0,,çocuk,,,,topuklu
TERM_4a075ff8,gençlik dergisi,gençlik dergisi,,0.0,,,,,,gençlik dergisi
TERM_6a961906,kadife saç sosisi,kadife saç sosisi,,0.0,,,,,kadife,saç sosisi
TERM_c655491f,tv sehpa & ünitesi,tv sehpa & ünitesi,,0.0,,,,,,sehpa ünitesi
TERM_f0dc1000,yuvarlak kek kalıbı,yuvarlak kek kalıbı,,0.0,,,,,,yuvarlak kek kalıbı
TERM_58d57c33,ikea kırlent ve kırlent kılıfı,ikea kırlent ve kırlent kılıfı,ikea,1.0,,,,,,kırlent kırlent kılıfı
TERM_164816b6,siyah skinny jean,siyah skinny jean,,0.0,,,siyah,,,skinny jean
TERM_06d6bc37,salamura asma yaprağı,salamura asma yaprağı,,0.0,,,,,,salamura asma yaprağı
TERM_b28b9d9a,öğretmen broş,öğretmen broş,,0.0,,,,,,öğretmen broş
TERM_bad4d131,bertille home kırlent ve kırlent kılıfı,bertille home kırlent ve kırlent kılıfı,,0.0,,,,,,bertille home kırlent kırlent kılıfı
TERM_62307f08,bebelac devam sütü,bebelac devam sütü,bebelac,1.0,,,,,,devam sütü
TERM_7531d0dc,herbadent diş macunu,herbadent diş macunu,,0.0,,,,,,herbadent diş macunu
TERM_da2c56d3,yeşil avize,yeşil avize,,0.0,,,yeşil,,,avize
TERM_e9b93672,philips 5000 serisi,philips 5000 serisi,philips,1.0,,,,,,serisi
TERM_663522e4,gaming sandalye,gaming sandalye,,0.0,,,,,,gaming sandalye
TERM_ccf31d60,sura ipek eşarp,sura ipek eşarp,,0.0,,,,,ipek,sura eşarp
TERM_9a550bed,xuping jewelry çelik kolye,xuping jewelry çelik kolye,xuping,1.0,,,,,,jewelry çelik kolye
TERM_5d785bbe,urban care saç bakım seti,urban care saç bakım seti,urban,1.0,,,,,,care saç bakım seti
TERM_4c2cc48c,bebek terlik,bebek terlik,,0.0,,bebek,,,,terlik
TERM_b987f7fe,ayakkabı beyazlatıcı,ayakkabı beyazlatıcı,,0.0,,,,,,ayakkabı beyazlatıcı
TERM_661da693,bal,bal,,0.0,,,,,,bal
TERM_aac02514,armine pantolon,armine pantolon,armine,1.0,,,,,,pantolon
TERM_b528043f,vizörlü kask,vizörlü kask,,0.0,,,,,,vizörlü kask
TERM_0864ea7d,beko kahve makinesi,beko kahve makinesi,beko,1.0,,,,,,kahve makinesi
TERM_b1166043,tomyhelf güneş gözlüğü,tomyhelf güneş gözlüğü,,0.0,,,,,,tomyhelf güneş gözlüğü
TERM_b5d0dd6c,mutfak çöp kutusu,mutfak çöp kutusu,,0.0,,,,,,mutfak çöp kutusu
TERM_c6758da4,kahve sunum tepsisi cam,kahve sunum tepsisi cam,,0.0,,,,,cam,kahve sunum tepsisi
TERM_1c4b7f9c,keten ferace,keten ferace,,0.0,,,,,keten,ferace
TERM_22e43266,kadın portföy,kadın portföy,bagfoni,0.8,kadın,,,,,
TERM_29ca3854,duvar poster,duvar poster,,0.0,,,,,,duvar poster
TERM_88c1e29b,xiaomi şarj aleti,xiaomi şarj aleti,xiaomi,1.0,,,,,,şarj aleti
TERM_248e66de,vestel kurutma makinesi,vestel kurutma makinesi,vestel,1.0,,,,,,kurutma makinesi
TERM_6d2a7397,ltb ceket,ltb ceket,ltb,1.0,,,,,,ceket
TERM_13053a75,the mia yemek tabağı,the mia yemek tabağı,the,0.8,,,,,,mia yemek tabağı
TERM_fa0e7793,el halhalı,el halhalı,,0.0,,,,,,halhalı
TERM_4005a963,alo çamaşır deterjanı,alo çamaşır deterjanı,,0.0,,,,,,alo çamaşır deterjanı
TERM_12b78975,jumbo,jumbo,jumbo,0.818,,,,,,
TERM_9a274d05,ısı pompası,ısı pompası,,0.0,,,,,,ısı pompası
TERM_390d4334,duvara monte raf,duvara monte raf,,0.0,,,,,,duvara monte raf
TERM_f85d0ee9,ekol kadın elbise,ekol kadın elbise,ekol,1.0,kadın,,,,,elbise
TERM_7b987952,espresso bardak,espresso bardak,,0.0,,,,,,espresso bardak
TERM_e56a39e7,vakko şal,vakko şal,vakko,1.0,,,,,,şal
TERM_9c88a6e3,tuğralı kolye,tuğralı kolye,,0.0,,,,,,tuğralı kolye
TERM_db1b4b35,perotti çatal kaşık bıçak,perotti çatal kaşık bıçak,perotti,1.0,,,,,,çatal kaşık bıçak
TERM_542a4917,tatlı cup,tatlı cup,,0.0,,,,,,tatlı cup
TERM_d771db2b,küçük mandal toka,küçük mandal toka,,0.0,,,,,,mandal toka
TERM_c23e1a1f,bahçe salıncak,bahçe salıncak,,0.0,,,,,,bahçe salıncak
TERM_888d6943,mango ceket,mango ceket,mango,0.977,,,,,,ceket
TERM_b7b9144f,ahşap ayaklı abajur,ahşap ayaklı abajur,,0.0,,,,,ahşap,ayaklı abajur
TERM_e9c4d8c6,kadın kaşe ceket,kadın kaşe ceket,,0.0,kadın,,,,,kaşe ceket
TERM_3e7a0d51,damat kahve tepsisi,damat kahve tepsisi,,0.0,,,,,,damat kahve tepsisi
TERM_04d08dbe,süpürge makinası,süpürge makinası,,0.0,,,,,,süpürge makinası
TERM_5ae57c47,alphalete,alphalete,,0.0,,,,,,alphalete
TERM_dbc5bc2d,sophie la girafe,sophie la girafe,,0.0,,,,,,sophie girafe
TERM_35bef867,kapitoneli mont,kapitoneli mont,,0.0,,,,,,kapitoneli mont
TERM_6175d7d1,lavabo sifonu,lavabo sifonu,,0.0,,,,,,lavabo sifonu
TERM_cad862cf,tencere altlığı,tencere altlığı,,0.0,,,,,,tencere altlığı
TERM_7738cbd0,düşük omuz kazak,düşük omuz kazak,,0.0,,,,,,düşük omuz kazak
TERM_7cf36c96,arzum doğrayıcı,arzum doğrayıcı,arzum,1.0,,,,,,doğrayıcı
TERM_a3c612ef,katlanabilir ders çalışma masası,katlanabilir ders çalışma masası,,0.0,,,,,,katlanabilir ders çalışma masası
TERM_5aa8cf03,şık yağdanlık,şık yağdanlık,,0.0,,,,,,şık yağdanlık
TERM_75c942f4,bebek pudrası kokusu,bebek pudrası kokusu,,0.0,,bebek,,,,pudrası kokusu
TERM_9f2f41c6,riga takımı,riga takımı,,0.0,,,,,,riga takımı
TERM_2cef2b1b,bebek organizeri,bebek organizeri,,0.0,,bebek,,,,organizeri
TERM_7569dcf6,kalender dekor portmanto,kalender dekor portmanto,,0.0,,,,,,kalender dekor portmanto
TERM_5f952e28,tafta elbise,tafta elbise,,0.0,,,,,,tafta elbise
TERM_78eb3cc7,reebook ayakkabı,reebook ayakkabı,,0.0,,,,,,reebook ayakkabı
TERM_2b6d430c,missamour elbise,missamour elbise,,0.0,,,,,,missamour elbise
TERM_c194e3b1,corolla paspas,corolla paspas,,0.0,,,,,,corolla paspas
TERM_e050be06,sony dijital fotoğraf makineleri,sony dijital fotoğraf makineleri,,0.0,,,,,,sony dijital fotoğraf makineleri
TERM_632c9af5,siyah tulum,siyah tulum,,0.0,,,siyah,,,tulum
TERM_83d25b14,nehir fırın & kek kalıpları,nehir fırın & kek kalıpları,nehir,1.0,,,,,,fırın kek kalıpları
TERM_889d43a8,detector,detector,,0.0,,,,,,detector
TERM_2a97c999,bronzlaştırıcı,bronzlaştırıcı,,0.0,,,,,,bronzlaştırıcı
TERM_07d9accd,gap erkek sweatshirt,gap erkek sweatshirt,gap,1.0,erkek,,,,,sweatshirt
TERM_0f422122,avon celebre,avon celebre,avon,1.0,,,,,,celebre
TERM_22a0e93b,dkny omuz çantası,dkny omuz çantası,,0.0,,,,,,dkny omuz çantası
TERM_52fa62ba,moda devrin terlik,moda devrin terlik,moda,0.8,,,,,,devrin terlik
TERM_c95a4d8f,ipad pro m5 kılıf,ipad pro m5 kılıf,,0.0,,,,,,ipad pro kılıf
TERM_e0940803,vi vet,vi vet,,0.0,,,,,,vet
TERM_bcf985ad,gümüş çelik yüzük,gümüş çelik yüzük,,0.0,,,gümüş,,gümüş,çelik yüzük
TERM_f4d16286,bilfen yayıncılık,bilfen yayıncılık,,0.0,,,,,,bilfen yayıncılık
TERM_88ecc369,çapa home,çapa home,,0.0,,,,,,çapa home
TERM_4493a2cf,padel,padel,,0.0,,,,,,padel
TERM_adaddff4,üçlü duvar aynası,üçlü duvar aynası,,0.0,,,,,,üçlü duvar aynası
TERM_ea0d9c99,yves saint laurent kadın parfüm,yves saint laurent kadın parfüm,yves,1.0,kadın,,,,,saint laurent parfüm
TERM_f0543c8b,kızıl kahve saç boyası,kızıl kahve saç boyası,,0.0,,,,,,kızıl kahve saç boyası
TERM_5c4a7913,tomuycuk,tomuycuk,,0.0,,,,,,tomuycuk
TERM_3497125e,forelli erkek,forelli erkek,forelli,1.0,erkek,,,,,
TERM_f81af387,straight fit jean,straight fit jean,defacto,1.0,,,,,,fit jean
TERM_af20bb38,scheppach,scheppach,,0.0,,,,,,scheppach
TERM_d1f0132e,söz nişan hediyelik,söz nişan hediyelik,,0.0,,,,,,söz nişan hediyelik
TERM_7a8d38bd,kız bebek montu,kız bebek montu,,0.0,kadın,bebek,,,,montu
TERM_8d9c9d75,vak maşa,vak maşa,,0.0,,,,,,vak maşa
TERM_2071d50f,mango blazer ceket,mango blazer ceket,mango,0.977,,,,,,blazer ceket
TERM_8ff295f3,yolluk,yolluk,,0.0,,,,,,yolluk
TERM_46ceb123,garnier bb,garnier bb,garnier,1.0,,,,,,
TERM_e8db16df,honor magic,honor magic,honor,0.778,,,,,,magic
TERM_2d407abf,çocuk eşortman,çocuk eşortman,,0.0,,çocuk,,,,eşortman
TERM_294a2b36,çelik yağdanlık,çelik yağdanlık,,0.0,,,,,,çelik yağdanlık
TERM_d2e3dd03,banyo wc havalandırma menfezi,banyo wc havalandırma menfezi,badem10,0.75,,,,,,banyo menfezi
TERM_23d46a2f,torima bluetooth kulaklık,torima bluetooth kulaklık,torima,1.0,,,,,,bluetooth kulaklık
TERM_36d19a53,nike erkek yürüyüş ayakkabısı,nike erkek yürüyüş ayakkabısı,nike,1.0,erkek,,,,,yürüyüş ayakkabısı
TERM_6c05f252,rahat pantolon,rahat pantolon,,0.0,,,,,,rahat pantolon
TERM_94c07541,magsafe şarj,magsafe şarj,,0.0,,,,,,magsafe şarj
TERM_5c7cfc2a,bohem uzun etek,bohem uzun etek,,0.0,,,,,,bohem etek
TERM_c9ada23b,karaca servis seti,karaca servis seti,karaca,1.0,,,,,,servis seti
TERM_00aa9ff1,effe yapi dekor ayna,effe yapi dekor ayna,,0.0,,,,,,effe yapi dekor ayna
TERM_fc1758c0,iki kapılı gardırop,iki kapılı gardırop,,0.0,,,,,,iki kapılı gardırop
TERM_c8de5fa4,müslin tesettür elbise,müslin tesettür elbise,,0.0,,,,,,müslin tesettür elbise
TERM_c6dbecea,kız çocuk abiyeleri,kız çocuk abiyeleri,,0.0,kadın,çocuk,,,,abiyeleri
TERM_19629129,etap saç kurutma makinesi,etap saç kurutma makinesi,,0.0,,,,,,etap saç kurutma makinesi
TERM_41045346,rebul aqua,rebul aqua,,0.0,,,,,,rebul aqua
TERM_529db572,kahve çeşitleri,kahve çeşitleri,,0.0,,,,,,kahve çeşitleri
TERM_5958db22,leopar hırka,leopar hırka,,0.0,,,,,,leopar hırka
TERM_1d0be8bd,defacto siyah pantolon,defacto siyah pantolon,defacto,1.0,,,siyah,,,pantolon
TERM_e198dfc1,mutfak koltuğu,mutfak koltuğu,,0.0,,,,,,mutfak koltuğu
TERM_a73f539f,tandırım ekmek yapma makinesi,tandırım ekmek yapma makinesi,,0.0,,,,,,tandırım ekmek yapma makinesi
TERM_56ae36af,doğum günü süsü,doğum günü süsü,,0.0,,,,,,doğum günü süsü
TERM_4e99df8e,2026 kpss paragraf,2026 kpss paragraf,yargı,0.8,,,,,,kpss paragraf
TERM_f4d26e13,plazma pen,plazma pen,,0.0,,,,,,plazma pen
TERM_cf9feba5,sepet beşik,sepet beşik,,0.0,,,,,,sepet beşik
TERM_906d038e,nike metcon,nike metcon,nike,1.0,,,,,,metcon
TERM_de0c3aab,mavi kadın eşofman altı,mavi kadın eşofman altı,,0.0,kadın,,mavi,,,eşofman altı
TERM_d10312e9,agv kask,agv kask,agv,1.0,,,,,,kask
TERM_49aafd3c,düz taban çizme,düz taban çizme,,0.0,,,,,,düz taban çizme
TERM_aa6104f0,yaban mersini fidanı,yaban mersini fidanı,,0.0,,,,,,yaban mersini fidanı
TERM_7b8f7fa8,oral b şarjlı çocuk dış fırçası,oral b şarjlı çocuk dış fırçası,oral-b,1.0,,çocuk,,,,şarjlı dış fırçası
TERM_17421ed1,kil bilyesi,kil bilyesi,,0.0,,,,,,kil bilyesi
TERM_7526ac57,gap kadın eşofman altı,gap kadın eşofman altı,gap,1.0,kadın,,,,,eşofman altı
TERM_3fe74b0f,aile pijama takımı,aile pijama takımı,,0.0,,,,,,aile pijama takımı
TERM_e5958bd4,erkek gri tişört,erkek gri tişört,,0.0,erkek,,gri,,,tişört
TERM_1f4bffcf,atoderm,atoderm,,0.0,,,,,,atoderm
TERM_a187e078,aryıldız kahvaltı takımı,aryıldız kahvaltı takımı,aryıldız,1.0,,,,,,kahvaltı takımı
TERM_5e89d010,istiridye mantarı tohumu,istiridye mantarı tohumu,,0.0,,,,,,istiridye mantarı tohumu
TERM_5c0d57f5,kız bebek kürk,kız bebek kürk,,0.0,kadın,bebek,,,,kürk
TERM_dc00d6d9,defacto erkek yağmurluk,defacto erkek yağmurluk,defacto,1.0,erkek,,,,,yağmurluk
TERM_3ba896da,portatif sistem,portatif sistem,,0.0,,,,,,portatif sistem
TERM_8c50e505,adidas terrex erkek ayakkabı,adidas terrex erkek ayakkabı,adidas,1.0,erkek,,,,,terrex ayakkabı
TERM_14fb60b3,traş çantası,traş çantası,,0.0,,,,,,traş çantası
TERM_e27df330,myslf,myslf,,0.0,,,,,,myslf
TERM_254799f0,zühre tesettür giyim,zühre tesettür giyim,zühre,1.0,,,,,,tesettür giyim
TERM_743b369a,balon demeti,balon demeti,,0.0,,,,,,balon demeti
TERM_ae66ab02,cleanser,cleanser,,0.0,,,,,,cleanser
TERM_425cf0f4,tencere yedek parça ve aksesuar,tencere yedek parça ve aksesuar,,0.0,,,,,,tencere yedek parça aksesuar
TERM_073f7740,bosch matkap ucu,bosch matkap ucu,bosch,1.0,,,,,,matkap ucu
TERM_45e1a969,süvari takım elbise,süvari takım elbise,süvari,1.0,,,,,,takım elbise
TERM_939e25e4,kablo ucu koruyucu,kablo ucu koruyucu,,0.0,,,,,,kablo ucu koruyucu
TERM_18e629ed,süpürge makinesi,süpürge makinesi,,0.0,,,,,,süpürge makinesi
TERM_10da1987,kadın siyah bol pantolon,kadın siyah bol pantolon,,0.0,kadın,,siyah,,,bol pantolon
TERM_614e00d9,süet loafer,süet loafer,,0.0,,,,,süet,loafer
TERM_fc33a6d1,gezer kadın terlik,gezer kadın terlik,,0.0,kadın,,,,,gezer terlik
TERM_424575b6,eyüp sabri tuncer gül suyu,eyüp sabri tuncer gül suyu,eyüp,1.0,,,,,,sabri tuncer gül suyu
TERM_eb33ed7f,fotoğraf askılığı,fotoğraf askılığı,,0.0,,,,,,fotoğraf askılığı
TERM_f7fe30fa,kadın lacivert çanta,kadın lacivert çanta,,0.0,kadın,,lacivert,,,çanta
TERM_0034897b,erkek çocuk kazak,erkek çocuk kazak,,0.0,erkek,çocuk,,,,kazak
TERM_c872ce73,kağıt rölyef malzemeleri,kağıt rölyef malzemeleri,,0.0,,,,,,kağıt rölyef malzemeleri
TERM_594ee5ee,islak kuru süpürge,islak kuru süpürge,,0.0,,,,,,islak kuru süpürge
TERM_d7375749,roborok,roborok,,0.0,,,,,,roborok
TERM_74025f77,purina one,purina one,,0.0,,,,,,purina one
TERM_416dad4f,karaca kahve,karaca kahve,karaca,1.0,,,,,,kahve
TERM_41ec57b3,saten stiletto,saten stiletto,,0.0,,,,,,saten stiletto
TERM_7cf5eb68,hello kitty toka,hello kitty toka,,0.0,,,,,,hello kitty toka
TERM_d0431071,motive,motive,,0.0,,,,,,motive
TERM_27d491a4,izole protein,izole protein,,0.0,,,,,,izole protein
TERM_aa689c27,baget bileklik,baget bileklik,,0.0,,,,,,baget bileklik
TERM_b5e796c5,polo yaka uzun kol,polo yaka uzun kol,,0.0,,,,,,polo yaka kol
TERM_4c3488f3,kitaplıklı çalışma masası,kitaplıklı çalışma masası,,0.0,,,,,,kitaplıklı çalışma masası
TERM_4c19f470,a kesim tesettür abiye,a kesim tesettür abiye,,0.0,,,,,,kesim tesettür abiye
TERM_79f76b7f,kafeinsiz türk kahvesi,kafeinsiz türk kahvesi,,0.0,,,,,,kafeinsiz türk kahvesi
TERM_ffc42d26,acı kahve trençkot,acı kahve trençkot,,0.0,,,,,,acı kahve trençkot
TERM_f9e388f0,spot lambası,spot lambası,cata,0.75,,,,,,lambası
TERM_827827c6,remington düzleştirici,remington düzleştirici,remington,1.0,,,,,,düzleştirici
TERM_f6521bfa,çekmece,çekmece,,0.0,,,,,,çekmece
TERM_d852ab55,geoder cetvel,geoder cetvel,,0.0,,,,,,geoder cetvel
TERM_6571f137,çay saklama kabı,çay saklama kabı,,0.0,,,,,,çay saklama kabı
TERM_b3f6ad16,cam fanus,cam fanus,,0.0,,,,,cam,fanus
TERM_b5f3e149,bronz avize,bronz avize,,0.0,,,,,,bronz avize
TERM_37e2706a,peynir sunum tabağı,peynir sunum tabağı,,0.0,,,,,,peynir sunum tabağı
TERM_5416809f,mürdüm şal,mürdüm şal,,0.0,,,,,,mürdüm şal
TERM_c9096abf,kartopu baby one,kartopu baby one,,0.0,,,,,,kartopu baby one
TERM_66eac620,iphone 16 pro ekran koruyucu,iphone 16 pro ekran koruyucu,,0.0,,,,,,iphone pro ekran koruyucu
TERM_49a549e1,ince uçlu tükenmez kalem,ince uçlu tükenmez kalem,,0.0,,,,,,ince uçlu tükenmez kalem
TERM_8ee9b214,sehpa takımı,sehpa takımı,,0.0,,,,,,sehpa takımı
TERM_4da29528,ayaklı tepsi,ayaklı tepsi,,0.0,,,,,,ayaklı tepsi
TERM_cf58650e,hediye çiçek,hediye çiçek,,0.0,,,,,,hediye çiçek
TERM_9773c0d7,dekorasyon kitap,dekorasyon kitap,,0.0,,,,,,dekorasyon kitap
