query,title,brand,main_category,oof_proba,bert_score,fuzz_set,head_in_title,product_type_cover
tesettür sandy takım,şanel slopet ikili takım alt dokuma kumaş üst burgu likralı kol fırfırlı badi takım,erzani kids,giyim,0.8099344,0.9873047,0.4,1.0,0.3333333333333333
napapijri,yeşil erkek çocuk kapüşonlu uzun kollu ceket np0a4gx9fm31 k rainforest aop 2,napapijri,giyim,0.9439923,0.9506836,0.16470588235294115,0.0,0.0
napapijri,a-giovi,napapijri,giyim,0.9944642,0.9970703,0.375,0.0,0.0
napapijri,b-smallwood c,napapijri,giyim,0.99466586,0.9970703,0.09090909090909094,0.0,0.0
napapijri,yeşil erkek çocuk mont np0a4hhkg1m1 k rainforest wi 2,napapijri,giyim,0.974828,0.98828125,0.19354838709677424,0.0,0.0
napapijri,p0a4i9t0411-r napapijri b-kander h erkek sweatshirt lacivert,napapijri,giyim,0.98317796,0.99365234,1.0,1.0,1.0
napapijri,b-boyd h,napapijri,giyim,0.9907095,0.9951172,0.0,0.0,0.0
napapijri,b-premium hz,napapijri,giyim,0.9921113,0.9970703,0.2857142857142857,0.0,0.0
napapijri,patchwork sweater,napapijri,giyim,0.9495723,0.9301758,0.2307692307692308,0.0,0.0
uno oyunu,ub12g2 12 inç deri uno g2 tom kumlu beyaz çift kat 14 mil,uno,hobi & eğlence,0.8943029,0.98583984,0.5,0.0,0.0
yuvarlak ayna,yuvarlak raflı 58cm koridor dresuar konsol duvar salon banyo ofis çocuk yatak oda raflı ayna,tarzdesign,ev & mobilya,0.99852437,0.99658203,1.0,1.0,1.0
yuvarlak ayna,dresuar takımı aynalı ledli **bronz kaplamali çekmeceli** ayaksız modern dresuar lüx,ayna,ev & mobilya,0.85825944,0.95458984,0.24719101123595508,0.0,0.0
yuvarlak ayna,yuvarlak ayna 45 cm siyah dresuar hol koridor duvar salon banyo wc ofis ayna 5702,suel house,ev & mobilya,0.9995475,0.99658203,1.0,1.0,1.0
pierre cardin eşarp,kadın  ipek saten eşarp kadın 90*90 ebat 7955230-392,pierre cardin,aksesuar,0.99303466,0.99365234,0.41666666666666663,1.0,1.0
green clean,bitkisel likit sabun portakal yağlı 500 ml ve çamaşır suyu 5 lt,green clean,kozmetik & kişisel bakım,0.8638977,0.13708496,0.13513513513513517,0.0,0.0
green clean,baby çamaşır deterjanı ve çamaşır yumuşatıcı 2' li set 5 l,green clean,süpermarket,0.9516383,0.9902344,0.1967213114754098,0.0,0.0
green clean,organik portakal yağlı likit sabun 5000 ml,green clean,kozmetik & kişisel bakım,0.80472755,0.19226074,0.2264150943396227,0.0,0.0
green clean,u baby çamaşır yumuşatıcı 1 l x 2 adet,green clean,süpermarket,0.9850725,0.99658203,0.16326530612244894,0.0,0.0
green clean,organik portakal yağlı bitkisel likit el sabunu 500 ml 2'li,green clean,kozmetik & kişisel bakım,0.7976137,0.058441162,0.2,0.0,0.0
green clean,organik portakal yağlı çok amaçlı yağ çözücü 500 ml,green clean,süpermarket,0.8659565,0.85595703,0.16129032258064513,0.0,0.0
green clean,baby bitkisel emzik biberon temizleyici 500 ml,green clean,süpermarket,0.9002991,0.96240234,0.1754385964912281,0.0,0.0
green clean,hassas ve alerjik ciltlere özel parfümsüz & boyasız likit sabun sensitive 500 ml  2'li set,green clean,kozmetik & kişisel bakım,0.9030541,0.7841797,0.16,0.0,0.0
green clean,"organik lavanta yağlı baby bitkisel sıvı çamaşır deterjanı 2,75l 2'li",green clean,süpermarket,0.9204632,0.9711914,0.175,0.0,0.0
green clean,baby bitkisel çamaşır yumuşatıcı lavanta yağlı 5 lt,green clean,süpermarket,0.97430146,0.9902344,0.16129032258064513,0.0,0.0
green clean,7 al 6 öde baby yumuşatıcı 1000 ml ve rosie hediye,green clean,süpermarket,0.97000736,0.99365234,0.1967213114754098,0.0,0.0
green clean,"organik lavanta yağlı baby bitkisel sıvı çamaşır deterjanı 2,75l",green clean,süpermarket,0.93494606,0.9423828,0.1866666666666667,0.0,0.0
green clean,u baby çamaşır yumuşatıcı 1 l x 3,green clean,süpermarket,0.99168754,0.99609375,0.18181818181818188,0.0,0.0
green clean,3 adet green clean bitkisel sıvı çamaşır deterjanı 1000 ml,green clean,süpermarket,0.96471995,0.97216797,1.0,1.0,1.0
green clean,organik portakal yağlı baby biberon emzik temizleyici 500 ml - 3'lü set,green clean,süpermarket,0.96402776,0.98876953,0.19512195121951223,0.0,0.0
green clean,baby bitkisel çamaşır deterjanı lavanta yağlı 5 lt,green clean,süpermarket,0.9613351,0.9921875,0.1967213114754098,0.0,0.0
green clean,u green clean baby çamaşır deterjanı 1 l,green clean,süpermarket,0.99346465,0.9941406,1.0,1.0,1.0
green clean,organik portakal yağlı tuvalet temizleyici 750 ml 2'li set,green clean,süpermarket,0.92797315,0.9770508,0.20289855072463767,0.0,0.0
green clean,organik lavanta yağlı baby çamaşır yumuşatıcısı 1000 ml 2'li set,green clean,süpermarket,0.93421733,0.9819336,0.16,0.0,0.0
green clean,baby çamaşır yumuşatıcısı 2750 ml yıkama,green clean,süpermarket,0.98009807,0.9951172,0.1568627450980392,0.0,0.0
green clean,u baby bitkisel biberon emzik temizleyici 500 ml ve köpük sabun portakal 450 ml,green clean,süpermarket,0.86181426,0.77978516,0.16091954022988503,0.0,0.0
green clean,baby organik şampuan 275ml,green clean,süpermarket,0.98738855,0.99560547,0.27027027027027034,0.0,0.0
green clean,"çok amaçlı yüzey temizleyici 2,75 lt tek ebat no color",green clean,süpermarket,0.9862161,0.99560547,0.24615384615384614,0.0,0.0
green clean,bitkisel meyve sebze temizleyici 1000 ml,green clean,süpermarket,0.97744685,0.9951172,0.19607843137254904,0.0,0.0
bijuteri küpe,925 ayar gümüş gold kaplama taşsız u şeklinde küpe,nereze,aksesuar,0.9689001,0.9951172,0.4705882352941177,1.0,0.5
bijuteri küpe,taşlı ve incili sallantılı uzun düğün abiye şık küpe,aksesuar,aksesuar,0.9919678,0.99560547,0.4705882352941177,1.0,0.5
bijuteri küpe,14 ayar altın düz tekli halka küpe gizli kilitli 1.3 cm,altınkesesi,aksesuar,0.9872578,0.9926758,0.4705882352941177,1.0,0.5
bijuteri küpe,çelik çanta görünümlü küpe,butik,aksesuar,0.9739128,0.9951172,0.4705882352941177,1.0,0.5
bijuteri küpe,gold flower papatya küpe,aurrari,aksesuar,0.8154306,0.94970703,0.4705882352941177,1.0,0.5
bijuteri küpe,"çelik kadın küpe, halka, gold renk, no:54",foursolos,aksesuar,0.9752478,0.99072266,0.1851851851851852,0.0,0.0
bijuteri küpe,moments charm halka küpe,pandora,aksesuar,0.9538233,0.99560547,0.4705882352941177,1.0,0.5
bijuteri küpe,lila taşlı kare küpe,pelin aksesuar,aksesuar,0.9937652,0.99560547,0.4705882352941177,1.0,0.5
bijuteri küpe,925 ayar gümüş minik beyaz incili tektaş küpe,nereze,aksesuar,0.94503534,0.9941406,0.4705882352941177,1.0,0.5
bijuteri küpe,925 ayar gümüş yaprak figürlü zincirli kıkırdak küpe - k033901,argentum concept,aksesuar,0.94500595,0.99316406,0.4705882352941177,1.0,0.5
bijuteri küpe,papatya kare epoksi küpe,elektrik doktoru,aksesuar,0.9230116,0.92089844,0.4705882352941177,1.0,0.5
bijuteri küpe,"incili fiyonk küpe 3,50 cm",monalisatoka,aksesuar,0.9178554,0.9941406,0.4705882352941177,1.0,0.5
bijuteri küpe,halkalı küpe,home,aksesuar,0.99405086,0.9941406,0.5,1.0,0.5
bijuteri küpe,3 adet yonca zirkon taşlı küpe,elektrik doktoru,aksesuar,0.9277422,0.9838867,0.4705882352941177,1.0,0.5
bijuteri küpe,yıldızlı halka küpe çap 1.1 cm,tufanlar kuyumculuk,aksesuar,0.93456775,0.9941406,0.4705882352941177,1.0,0.5
bijuteri küpe,kadın küpe 3birleşik kesik küçük halka küpe kararmaz,demokan,aksesuar,0.86487556,0.95458984,0.4705882352941177,1.0,0.5
bijuteri küpe,çiçek desenli emaye yuvarlak küpe,nilsu jewellery accessory,aksesuar,0.99017704,0.99560547,0.4705882352941177,1.0,0.5
bijuteri küpe,925 ayar gümüş zirkon taşlı yuvarlak küpe,elika silver,aksesuar,0.93676466,0.9946289,0.4705882352941177,1.0,0.5
bijuteri küpe,kadın kristal taşlı gümüş  küpe,monalisatoka,aksesuar,0.96169,0.99609375,0.4705882352941177,1.0,0.5
bijuteri küpe,"prinç meteryal deniz kabuğu tasarım inci detay sevgiliye,anneye,arkadaşa hediye küpe",vogutima,aksesuar,0.8840748,0.18286133,0.4705882352941177,1.0,0.5
bijuteri küpe,taşlı halka tragus piercing helix kıkırdak küpesi mini küpe,sacce scarves&accessories,aksesuar,0.91389334,0.99072266,0.4705882352941177,1.0,0.5
bijuteri küpe,altın rengi çelik halka küpe mini boy,sacce scarves&accessories,aksesuar,0.9924734,0.99658203,0.4705882352941177,1.0,0.5
bijuteri küpe,gold renk zirkon taşlı kadın küpe,hana moda,aksesuar,0.9817166,0.99658203,0.4705882352941177,1.0,0.5
koltuk şalı,otantik hakiki koyun postu bej siyah leopar çizgi baskılı asimetrik yumuşak tüylü koltuk yer dekoru,butik tülin,ev & mobilya,0.9684127,0.9863281,0.7058823529411765,0.0,0.5
kokusuz küllük,kokusuz küllük çakmaklık bölmeli kül tablası (3lü 3 adet farkli renk) kaliteli plastik,kemboss,ev & mobilya,0.9987486,0.9980469,1.0,1.0,1.0
kokusuz küllük,susam sokağı elmo seramik küllük,kumbara hediyelik,otomobil & motosiklet,0.9240528,0.9897461,0.6,1.0,0.5
kadife kırlent kılıfı,home 4lü kombin 3d baskılı dekoratif kırlent kılıfı,sakallı,ev & mobilya,0.82807577,0.00067710876,0.8,1.0,0.6666666666666666
çocuk montu,kapüşonlu oversize şişme mont,eybetsa,giyim,0.80020314,0.8876953,0.3,0.8,1.0
çocuk montu,spor kız spor çocuk içi polarlı kapüşonlu girls yazılı kelebek desenli   mont & kaban & parka,freemen,giyim,0.983296,0.9863281,0.625,0.8,1.0
çocuk montu,içi kürklü ve kürk detaylı deri mont,eskişehir yumurcak,giyim,0.93394655,0.32910156,0.21276595744680848,0.8,1.0
çocuk montu,erkek çocuk lacivert kapüşonlu içi kürklü elyaflı su ve rüzgar geçirmez kışlık mont&kaban&parka,qawwa,giyim,0.97385395,0.99316406,0.625,0.0,0.0
çocuk montu,rüzgar geçirmez kapüşonlu şişme kahverengi kız bebek mont c5312a5/bn564,defacto,giyim,0.8500795,0.94873047,0.1463414634146342,0.8,1.0
benzinli motosiklet,turtle 50 torpido ön panel sol dekoratif turuncu,falcon,otomobil & motosiklet,0.9696206,0.9946289,0.3582089552238806,0.0,0.0
benzinli motosiklet,turtle 50 gidon grenajı siyah,falcon,otomobil & motosiklet,0.9635026,0.98876953,0.29166666666666674,0.0,0.0
tecno akıllı saat,spark 30c 4/128 gb büyülü yeşil,tecno,elektronik,0.91469914,0.99560547,0.25,0.0,0.0
duvar askı,çiftli ayarlı boyalı stant askılık,acar raf,ev & mobilya,0.92513776,0.99121094,0.3181818181818181,0.0,0.0
erkek cüzdan kemer,isme özel otomatik hakiki deri deliksiz erkek kemer,hky,aksesuar,0.990498,0.99658203,0.7586206896551724,1.0,0.5
ferrucci kadın saat,s8plus ultra long standby smart watch akıllı kol saati fc-smart-s8 plus.104,ferrucci,elektronik,0.9771563,0.984375,0.2340425531914893,0.8,1.0
ferrucci kadın saat,"gümüş renk, çelik kordon sevgili çift kol saatleri+bileklik",ferrucci,aksesuar,0.93228966,0.9638672,0.2307692307692308,0.0,0.0
ferrucci kadın saat,s8plus ultra long standby smart watch akıllı kol saati fc-smart-s8 plus.14,ferrucci,elektronik,0.97424436,0.9814453,0.23655913978494625,0.8,1.0
nilem,sihirli muhteşem sıvı sprey 1 lt + 4 yedek 1 lt,nilem,süpermarket,0.9804903,0.9951172,0.12765957446808515,0.0,0.0
puf koltuk,icon berjer ve puf bukle 30,eriza home,ev & mobilya,0.99938035,0.9980469,0.4615384615384615,0.0,0.5
nobbystar,yuvarlak led işıklı sihirli ayna dekoratif fotoğraf çerçevesi,nobbystar,ev & mobilya,0.8810722,0.81396484,0.1428571428571429,0.0,0.0
nobbystar,kalemlikli kalpli sihirli ayna,nobbystar,ev & mobilya,0.8817245,0.8129883,0.15384615384615385,0.0,0.0
nobbystar,sök tak kare çerçeve beyaz (3 adet) fotoğrafsız,nobbystar,ev & mobilya,0.9386111,0.9423828,0.2142857142857143,0.0,0.0
nobbystar,96 fotoğraf kapasiteli instax polakart siyah fotoğraf albümü,nobbystar,kırtasiye & ofis malzemeleri,0.97742563,0.99560547,0.1666666666666667,0.0,0.0
nobbystar,dönen hareketli abajur mavi boncuklu fotoğraf takılabilen gece lambası abajur,nobbystar,ev & mobilya,0.88318205,0.81103516,0.15189873417721514,0.0,0.0
nobbystar,100'lük 15x21cm. eyfel kulesi desenli fotoğraf albümü,nobbystar,kırtasiye & ofis malzemeleri,0.8777756,0.6220703,0.12903225806451615,0.0,0.0
nobbystar,beyaz kalemli siyah kendin tasarla anı defteri ve fotoğraf albümü,nobbystar,kırtasiye & ofis malzemeleri,0.9138032,0.75097656,0.1891891891891892,0.0,0.0
nobbystar,kadın sweatshirt boxy fit bol beyaz şardonlu,nobbystar,giyim,0.96211,0.95751953,0.2641509433962264,0.0,0.0
nobbystar,200 'lük 10x15cm. mavi pencereli deri fotoğraf albümü,nobbystar,kırtasiye & ofis malzemeleri,0.84207535,0.37109375,0.12903225806451615,0.0,0.0
nobbystar,200'lük 10x15 kutulu ayı figürlü mavi fotoğraf albümü,nobbystar,kırtasiye & ofis malzemeleri,0.9328338,0.90625,0.12903225806451615,0.0,0.0
nobbystar,kadın sweatshirt boxy fit bol beyaz şardonlu,nobbystar,giyim,0.96211,0.95751953,0.2641509433962264,0.0,0.0
kadın şişme yelek,yeni sezon büyük beden örme kisa yelek,elma abone,giyim,0.80642754,0.87841797,0.4727272727272727,1.0,0.5
kadın şişme yelek,kadin şişme yelek,aksis,giyim,0.9991607,0.9951172,0.9411764705882354,1.0,1.0
plastik kase,5x6 cm küçükkkkkkkkkkkk boyuna dikkat edin prizma mika plastik sunum kabı kübik kase 120 cc **25**,sofora,hobi & eğlence,0.9847919,0.9873047,1.0,1.0,1.0
banyo duvar rafı,banyo düzenleyici şampuanlık 2li set duş jeli organizer yapışkanlı paslanmaz metal raf siyah,bino,ev & mobilya,0.9818169,0.99121094,0.4761904761904762,0.8,0.6666666666666666
banyo duvar rafı,"banyor köşe yapışkanlı banyo rafı, köşe banyo düzenleyici, duş rafı organizer şampuanlık, plastik",ata home,ev & mobilya,0.9842598,0.9770508,0.7692307692307692,1.0,0.6666666666666666
banyo duvar rafı,10 adet süper güçlü çerçeve askısı lekesiz duvar yapıskanı mutfak banyo rafı tutucu aksesuarı,ege home store,banyo yapı & hırdavat,0.83532137,0.03918457,1.0,1.0,1.0
banyo duvar rafı,"siyah metal duvara monte duvar rafı, uçan duvar rafı ve kitaplık rafı (2 adet) mt118s",risingmaber,ev & mobilya,0.81663895,0.05014038,0.7692307692307692,1.0,0.6666666666666666
şarjlı ilaçlama makinesi,pa05 ilaçlama makinesi pilli,palmera,bahçe & elektrikli el aletleri,0.99624604,0.99560547,0.8292682926829268,1.0,0.6666666666666666
macbook çanta,"laptop evrak çantası a4 12.5 inç su geçirmez, darbe korumalı, vegan deri sonbahar şal desen taba",worken,aksesuar,0.94251347,0.9663086,0.1834862385321101,0.0,0.0
iş ayakkabıları,iş ayakkabisi,mekap,ayakkabı,0.81629956,0.78125,0.7142857142857143,0.4,1.0
kaymaz koltuk örtüsü,kadife 3 kişilik koltuk örtüsü leke tutmaz esnek solma yapmaz parlak kadife koltuk kılıfı,madame bella,ev & mobilya,0.9942336,0.9926758,0.7878787878787878,1.0,0.6666666666666666
kaz tüyü mont,walker mill heat seal erkek siyah kaztüyü mont xo1434-010,columbia,giyim,0.9982451,0.99609375,0.4705882352941177,1.0,0.3333333333333333
kaz tüyü mont,kaz tüyü dolgulu uzun mont krem,kayra,giyim,0.9996159,0.9975586,1.0,1.0,1.0
skechers outdoor ayakkabı,flex advantage 4.0 coated unisex gri spor ayakkabı,skechers,ayakkabı,0.8449766,0.98535156,0.48484848484848486,1.0,0.5
karaca kupa bardak,talya mug 400 ml,karaca,ev & mobilya,0.9961349,0.9970703,0.23529411764705885,0.0,0.0
yatak örtüsü set,tek kişilik desenli kapitone çift taraflı renkli pike yatak örtüsü takımı 160x230 cm (çarşafsız),formeya,ev & mobilya,0.9978677,0.9970703,0.8571428571428571,0.0,0.6666666666666666
yatak örtüsü set,perla baskılı kapitoneli çift kişilik yatak örtüsü,çeyiz diyarı,ev & mobilya,0.9962093,0.99609375,0.8571428571428571,0.0,0.6666666666666666
versace jeans couture,normal bel normal paça slim fit siyah erkek denim pantolon 75gab5d0cdw81909,versace jeans couture,giyim,0.9600083,0.94873047,0.22471910112359553,0.0,0.0
versace jeans couture,couture slim fit normal bel normal paça indigo erkek denim pantolon 75gab5s0dw022l5b904,versace jeans couture,giyim,0.97899383,0.96728516,0.5,1.0,0.3333333333333333
versace jeans couture,erkek kapüşonlu sweatshirt74gaif01cf01f,versace jeans couture,giyim,0.8312796,0.9423828,0.33333333333333326,0.0,0.0
versace jeans couture,barocco outline - print t-shirt (vei22o0cz-q12),versace jeans couture,giyim,0.92498523,0.9716797,0.2647058823529412,0.0,0.0
ahşap sehpa,- gusto siyah sehpa 2li set / füme aynalı,neostill,ev & mobilya,0.99796975,0.99658203,0.625,1.0,1.0
saat kordonu,huawei watch gt gt2 gt3 gt4 gt5 pro 46mm-redmi watch 5 active 22mm nato kumaş saat kordonu kayışı,trendburada,elektronik,0.99457675,0.96728516,1.0,1.0,1.0
saat kordonu,huawei watch gt2 42mm uyumlu spor kumaş desenli cırt cırtlı kordon kayış,kreton,elektronik,0.9966334,0.9951172,0.2619047619047619,0.8,0.5
saat kordonu,huawei watch gt gt2 gt3 gt4 pro 46mm samsung gear s3 22mm silikon saat kordonu 22s26b,cobra,elektronik,0.99835104,0.99316406,1.0,1.0,1.0
saat kordonu,retro minimal metal kordon vintage kadın kol saati minik model,rubsey,aksesuar,0.97528595,0.99365234,0.29729729729729726,0.8,1.0
saat kordonu,huawei watch gt gt2 gt3 42mm kasa model uyumlu 20mm silikon saat kordonu kayışı 20s26b,cobra,elektronik,0.99153626,0.96435547,1.0,1.0,1.0
saat kordonu,kadın hasır kordon kol saati,q&q,aksesuar,0.8059953,0.89160156,0.55,0.8,1.0
saat kordonu,xiaomi redmi watch 5 active - xiaomi redmi watch 5 lite uyumlu 22mm silikon saat kordonu a7222mm,cobra,elektronik,0.9974432,0.99316406,1.0,1.0,1.0
saat kordonu,marka model oval çelik gold kasa su yeşili kordon kadın kol saati bb0057,ricardo,aksesuar,0.98215437,0.99072266,0.2619047619047619,0.8,1.0
saat kordonu,xiaomi mi watch s1-s2 yuvarlak kasa uyumlu 22mm silikon saat kordonu kayışı 22s26b,cobra,elektronik,0.996313,0.98583984,1.0,1.0,1.0
saat kordonu,movetime mt42x mt43 mt46 family-slazenger uyumlu akıllı çocuk saati kordonu,trendburada,elektronik,0.9878424,0.9814453,0.736842105263158,1.0,1.0
tuval boyama seti,sayılarla boyama 40x50 cm tuval seti fırça boya dahil çıtaya gerili - yakamoz,palmiye hobi sanat kırtasiye,kırtasiye & ofis malzemeleri,0.99551475,0.9951172,1.0,1.0,1.0
tuval boyama seti,"yağlı boya resim seti - tuval resim başlangıç seti, tüval ressam seti",o&s oyun ve sanat eğlen-üret,kırtasiye & ofis malzemeleri,0.98186904,0.9951172,0.7407407407407408,1.0,0.6666666666666666
tuval boyama seti,sayılarla boyama seti çerçeveli kasnaklı kovalamaca  40 x 50 cm,kendinyaphobi,kırtasiye & ofis malzemeleri,0.8205106,0.03942871,0.7857142857142857,1.0,0.6666666666666666
tuval boyama seti,30x20cmtüm boyama türlerine uygun boyanabilir tuval mandala tablo çocuklar için eğitici tuval boyama,pastelya,kırtasiye & ofis malzemeleri,0.9950972,0.9916992,0.8275862068965517,0.0,0.6666666666666666
tuval boyama seti,penceredeki gelincikler sayılarla boyama seti 50x65 cm çerçeveli (kasnağa ) gerili,wombhobby,kırtasiye & ofis malzemeleri,0.8374458,0.22692871,0.7857142857142857,1.0,0.6666666666666666
baglovis,lacivert kadın baget el çantası,ymzbag,aksesuar,0.94610643,0.99316406,0.3076923076923077,0.0,0.0
jbl kablolu kulaklık,"wave beam2, kablosuz kulakiçi kulaklık, ie, beyaz",jbl,elektronik,0.99200815,0.99072266,0.49275362318840576,0.4,1.0
jbl kablolu kulaklık,wave beam tws kulakiçi kulaklik,jbl,elektronik,0.9327304,0.9448242,0.4705882352941177,0.8,0.5
armatür,mutfak tezgah aydınlatması-raf aydınlatması armatür 90cm led anahtarlı set- gün işığı,cata,ev & mobilya,0.98196113,0.9902344,1.0,1.0,1.0
armatür,7 w çim kazık bahçe aydınlatma armatürü - gün işığı (3000k) - siyah - ip65 - ct-7300g,cata,bahçe & elektrikli el aletleri,0.960169,0.9316406,0.16279069767441853,0.8,1.0
armatür,- tavan lambası glop armatür. 4lü avantaj paket. wc tuvalet banyo balkon merdiven teras,korçam,bahçe & elektrikli el aletleri,0.98506635,0.9916992,0.14893617021276598,0.4,1.0
armatür,roma bahçe armatürü (40 cm)(e27),cata,bahçe & elektrikli el aletleri,0.9948848,0.99560547,0.358974358974359,0.8,1.0
armatür,kayı rad q100 yuvarlak kanal tipi radyal aspiratör ve havalandırma fanı 290m³/h,kayites,banyo yapı & hırdavat,0.83264834,0.98583984,0.1395348837209302,0.0,0.0
armatür,tf std 1.10 kapı üstü sundurma 100 x 100 bronz,transpaforza,banyo yapı & hırdavat,0.85546005,0.9946289,0.2448979591836735,0.0,0.0
niloya,tek kişilik nevresim takımı,niloya,ev & mobilya,0.9775327,0.9946289,0.18181818181818188,0.0,0.0
boboli,kız bebek külotlu çorap,boboli,giyim,0.9901345,0.9975586,0.2758620689655173,0.0,0.0
boboli,erkek bebek çizgili hırka,boboli,giyim,0.98649275,0.99658203,0.2580645161290323,0.0,0.0
boboli,kız çocuk çiçek desenli mont,boboli,giyim,0.9931491,0.9970703,0.11764705882352942,0.0,0.0
kadın büyük beden kazak,kadın siyah oversize polo yaka çizgili uzun kollu triko kazak,devinka,giyim,0.91133213,0.98876953,0.6470588235294117,1.0,0.3333333333333333
kadın büyük beden kazak,kadın taş oversize salaş v yaka triko kazak,devinka,giyim,0.99887156,0.9736328,0.6470588235294117,1.0,0.3333333333333333
simli eşarp,carmen eşarp,piramit,giyim,0.86177576,0.9243164,0.625,1.0,0.5
çocuk oyuncak,türk zeka ve strateji oyunu 1 adet,mangala,anne & bebek & çocuk,0.8942477,0.00014090538,0.3404255319148936,0.0,0.0
çocuk oyuncak,erkek çocuk oyuncak oydaş küvette duş yapan bebek 02605 - 1adet stokta olan gönderilir kız çocuk eği,çeşit sepetim,anne & bebek & çocuk,0.9783498,0.12408447,1.0,1.0,1.0
çocuk oyuncak,architecture 21044 paris,lego,anne & bebek & çocuk,0.9766433,0.0041999817,0.16216216216216212,0.0,0.0
çocuk oyuncak,çocuk birlik gırgır hayvanlar leopar,basic fun,anne & bebek & çocuk,0.9956747,0.98095703,0.5555555555555556,0.0,0.0
çocuk oyuncak,new toys trigon oyunu akıl zeka oyun gelişmiş tangram 3 kitapçıklı,newtoys,anne & bebek & çocuk,0.97226405,0.89746094,0.2025316455696202,0.0,0.0
çocuk oyuncak,1123 duba 4'lü -playtoys kız erkek çocuk oyuncak eğitici oyuncaklar,amalfi,anne & bebek & çocuk,0.8191189,0.0009813309,1.0,1.0,1.0
çocuk oyuncak,platin üçlü oyun seti (tavla-dama-satranç) büyük boy,star,anne & bebek & çocuk,0.99340254,0.99121094,0.21538461538461534,0.0,0.0
