query,title,brand,main_category,oof_proba,bert_score,fuzz_set,head_in_title,product_type_cover
silk home şal,soft eşarp 73058-20,silk home,giyim,0.43930486,7.843971e-05,0.1875,0.0,0.0
strafor,köpük tavan duvar kap. 50x50 cm yonca 3m2 12adet,stropiyer,banyo yapı & hırdavat,0.08221211,0.004924774,0.14545454545454548,0.0,0.0
strafor,köpük dünyası tavan kaplama köpüğü paris desen ( 1 adet ),ysftasarım,banyo yapı & hırdavat,0.47392398,8.028746e-05,0.09375,0.0,0.0
strafor,stropiyer tavan ve duvar kaplama beren modeli 10.m2,fawori,banyo yapı & hırdavat,0.51150566,0.025466919,0.17241379310344826,0.0,0.0
anlas,3.50-10 tl 59m tournee motosiklet lastiği tubeless,anlas,otomobil & motosiklet,0.6931808,0.07684326,0.14545454545454548,0.0,0.0
anlas,motosiklet dış lastik 100/90-14 tournee 2 57p tubeless,anlas,otomobil & motosiklet,0.60617733,0.037109375,0.1355932203389831,0.0,0.0
anlas,tez motor 2.75-17 mb-79 47p dubleks motorsiklet lastiği 2023,anlas,otomobil & motosiklet,0.67682874,0.08227539,0.09230769230769226,0.0,0.0
anlas,irc ybr125 cbf 150 için 2.75-18 ve 90/90-18 irc lastik set,anlas,otomobil & motosiklet,0.733952,0.17541504,0.1355932203389831,0.0,0.0
anlas,3.00 - 10 mb-510 motosiklet dış lastik dublex (tubeless),anlas,otomobil & motosiklet,0.6609533,0.090270996,0.09836065573770497,0.0,0.0
anlas,takım rks spontini 90/90-12 ve 3.50-10 sc500 kış lastiği ön arka set,anlas,otomobil & motosiklet,0.75945973,0.28442383,0.10958904109589042,0.0,0.0
anlas,mondial lavinia ön arka lastik takım mb 80 2025 üretim anl0005,anlas,otomobil & motosiklet,0.6460435,0.08227539,0.14925373134328354,0.0,0.0
büyük hediye kutusu,sevgililer günü için hediye kutusu & çanta boş karton sevgili hediye paketi hediyelik - 24x14x20cm,ogtwo,hobi & eğlence,0.7218262,0.020141602,0.8125,1.0,0.6666666666666666
büyük hediye kutusu,hediye kutusu kurdeleli kraft 30 cm en 30 cm boy 12 cm yükseklik söz damat bohçası,pazarakoş,hobi & eğlence,0.47482282,0.006614685,0.8125,1.0,0.6666666666666666
uno oyunu,zero kartlar jhh48,uno,anne & bebek & çocuk,0.7465116,0.00014650822,0.14814814814814808,0.0,0.0
bijuteri küpe,pembe siyah mineli papatya zirkon taş detaylı,aurrari,aksesuar,0.18484461,7.843971e-05,0.20689655172413793,0.0,0.0
bijuteri küpe,siyah boncuklu kulak aksesuarı,pelin aksesuar,aksesuar,0.124429636,8.094311e-05,0.18604651162790703,0.0,0.0
bijuteri küpe,kuromi cinnammaroll my melodi hello kity tasarımlı 3lü küpe setleri,makewell,aksesuar,0.7386085,0.03817749,0.4705882352941177,1.0,0.5
bijuteri küpe,pembe gül figürlü sallantılı taşlı kulak aksesuarı,pelin aksesuar,aksesuar,0.43111137,7.7843666e-05,0.2222222222222223,0.0,0.0
fb forma,24/25 sarı kaleci kazak,fenerbahçe,giyim,0.03590694,8.8214874e-05,0.12903225806451615,0.0,0.0
avene cleanance,yağlı ve akneye eğilimli ciltler için bakım kiti,avene,kozmetik & kişisel bakım,0.28339854,0.010131836,0.2857142857142857,0.0,0.0
geniş kot pantolon,pull on wide leg yüksek bel uzun yıkamalı pantolon d8243ax25sm,defacto,giyim,0.5826805,0.016159058,0.6153846153846154,1.0,0.3333333333333333
erkek kaşe,erkek oversize kruvaze kaban siyah,ablukaonline,giyim,0.008950463,0.00015592575,0.6666666666666665,0.0,0.0
erkek kaşe,erkek siyah kaşe oduncu tarzı gömlek ceket – rahat kalıp yeni sezon kışlık moda trend,mavisima erkek giyimi,giyim,0.7505252,0.7114258,1.0,1.0,1.0
erkek kaşe,erkek kruvaze kaşe mont ceket ekru,danger,giyim,0.7558468,0.95703125,1.0,1.0,1.0
masa örtüsü kumaşı,sira örtülük dertsiz raşel kumaş ( 1 metre için ),mekik manifatura,hobi & eğlence,0.17460078,0.00079488754,0.4776119402985075,0.8,0.6666666666666666
345 start,345 tyt matematik soru bankası 2026,üç dört beş yayıncılık,kitap,0.13889003,0.00019264221,0.5,0.0,0.5
çocuk montu,su geçirmez şişme kum erkek bebek mont e8270a5/bg319,defacto,giyim,0.21504158,0.03186035,0.19047619047619052,0.8,1.0
çocuk montu,erkek çocuk rüzgar geçirmez  suya dayanıklı kapüşonlu spor mont,qawwa,giyim,0.5722889,0.20373535,0.625,0.8,1.0
duvar askı,metal siyah amerikan kapı arkası askılık organizer askılık ve mutfak banyo kapı arkası askılık mt60s,risingmaber,ev & mobilya,0.63857764,0.9057617,0.19512195121951223,0.0,0.0
duvar askı,genel markalar lcd led plazma tv askı aparatı hareketli üç kollu 82-102cm 32'42',microstar,elektronik,0.0069907866,8.028746e-05,0.5714285714285715,1.0,0.5
osmanlı,çerçeve görünümlü kaligrafi sanatı islami dekoratif ahşap mdf ev duvar tablo yuvarlak ev duvar tablo,teona ahşap,ev & mobilya,0.07153937,0.00049352646,0.13043478260869562,0.0,0.0
bakraç,paslanmaz krom yoğurt kovası (6kg),üzüm çelik,ev & mobilya,0.0012734963,8.481741e-05,0.2,0.0,0.0
nobbystar,yapışkanlı sök-tak paspartulu siyah 14x14cm pola kare fotoğraf çerçevesi - 6'lı paket,nobbystar,ev & mobilya,0.6684836,0.028762817,0.12765957446808515,0.0,0.0
nobbystar,dekoratif led işıklı sihirli papatya ayna çerçeve,nobbystar,ev & mobilya,0.77405065,0.1842041,0.17241379310344826,0.0,0.0
kadın şişme yelek,k dw0dw14290-bds,tommy hilfiger,giyim,0.26188368,8.416176e-05,0.18181818181818188,0.0,0.0
kadın şişme yelek,taş dik yaka kapitoneli casual yelek,network,giyim,0.7759671,0.8022461,0.45454545454545453,1.0,0.5
coconut,organik hindistan cevizi yağı 150 ml (soğuk sıkım),wefood,kozmetik & kişisel bakım,0.002607949,8.2194805e-05,0.14035087719298248,0.0,0.0
karcher sc 4,"sc4 easyfix prime | cam ve halı aparatlı, 30 bezli temizlik seti",karcher,elektronik,0.73891103,0.99316406,0.23684210526315794,0.0,0.0
banyo duvar rafı,2'li metal raf,tasagram,ev & mobilya,0.5041603,0.07122803,0.4,0.8,0.3333333333333333
gümüş stiletto,annamarie kadın stiletto 1701,gusse,ayakkabı,0.7042503,0.16137695,0.7272727272727272,1.0,1.0
kız bebek ayakkabısı,kız bebek kırmızı puantiye çocuk panduf kaydırmaz taban anaokulu kreş ev ayakkabısı,büşra sultan ayakkabı & çanta,ayakkabı,0.62109464,0.17919922,1.0,1.0,1.0
kız bebek ayakkabısı,bg store kız bebek desenli patik,layette,ayakkabı,0.72965145,0.2220459,0.6206896551724138,0.0,0.0
kız bebek ayakkabısı,alice rugan taşlı bordo deri makosen,hodore,ayakkabı,0.72044927,0.13317871,0.25,0.0,0.0
kız bebek ayakkabısı,bebek patik triko 0/6 ay ponponlu,lui baby,ayakkabı,0.2977924,0.01979065,0.45283018867924524,0.0,0.0
kız bebek ayakkabısı,- bony siyah hakiki deri ilk adım ayakkabısı - bony-15,li puna,ayakkabı,0.35857755,0.0035114288,0.6666666666666665,1.0,1.0
güneş enerjili solar aydınlatma,ct-4698 miami solar led projektör (yeni solar panel ve pil ömrü güçlendirilmiş),cata,banyo yapı & hırdavat,0.088186935,0.01991272,0.3653846153846154,0.0,0.25
versace jeans couture,31x41x16cm sırt çantası 75ya4b40 zs590 899,versace jeans couture,aksesuar,0.53129673,0.036895752,0.2222222222222223,0.0,0.0
versace jeans couture,erkek çapraz çantası 75ya4b66,versace jeans couture,aksesuar,0.42567927,0.05419922,0.36,0.0,0.0
versace jeans couture,9.5x14x5.5cm kadın mini omuz çantası 75va4bft zs413 003,versace jeans couture,aksesuar,0.6724003,0.09857178,0.18421052631578946,0.0,0.0
seccade seti,"hediyelik, çeyizlik, mevlütlük, bohçalık ,gelin bohçası flamlı namaz örtüsü tesbih seti",ayhanhome,ev & mobilya,0.5142344,0.0011034012,0.5,1.0,0.5
saat kordonu,xiaomi redmi watch5 active/lite - samsung galaxy - huawei watch gt 2/2pro/3/3pro (22mm) saat kayışı,psgt,elektronik,0.59791803,0.0002758503,0.5,0.0,0.5
armatür,akvaryum hava hortum vantuzu 20 adet,armatürk,süpermarket,0.030649427,8.8214874e-05,0.23255813953488372,0.0,0.0
armatür,irmak banyo seti,uso,banyo yapı & hırdavat,0.00050110143,9.536743e-05,0.43478260869565216,0.0,0.0
2 kişilik şişme yatak,67374 şişme yatak yastıklı ve pompalı 203x152x22 cm,bestway,spor & outdoor,0.58987826,0.00020503998,0.6875,1.0,0.6666666666666666
yüzücü bone,çocuk yüzme seti - mavi - 100,decathlon,giyim,0.013335951,8.547306e-05,0.31578947368421056,0.0,0.0
çocuk odası dekorasyonu,"pink bows coquette estetik poster, pinterest estetik poster, ma cherie poster, cherry poster",vinca prints,ev & mobilya,0.41023904,0.004070282,0.21978021978021972,0.0,0.0
çocuk odası dekorasyonu,harita askılı kanvas poster,piksel grafik,ev & mobilya,0.19865532,0.00042557716,0.32,0.0,0.0
mutfak lavabo musluğu,erti delta mutfak evye mix kuğu 5yıl garantili(40 kartuş),vatan,banyo yapı & hırdavat,0.16208854,0.00031018257,0.4444444444444444,0.0,0.3333333333333333
yeşil kumaş pantolon,kadın slim fit kumaş pantolon bilek boy havuç kalıp pens dikiş detaylı ( esnek değildir ),floral fashıon,giyim,0.015976556,0.0056419373,0.8235294117647058,1.0,1.0
araç aksesuarları,redbull torpido havlusu beyaz 1.kalite baskı - göğüs halısı redbull torpido havlusu,otodemir,otomobil & motosiklet,0.55279857,0.012825012,0.26315789473684204,0.0,0.0
araç aksesuarları,space ambiyans rgb 64 renk aydınlatma set 12v / laam435,typer,otomobil & motosiklet,0.19611263,0.000114142895,0.25,0.0,0.0
araç aksesuarları,tofaş şahin doğan kartal alçak (düşük) torpido koruma & vites konsol yan kaplama halısı - nakışlı,tusba market,otomobil & motosiklet,0.7507197,0.9814453,0.2105263157894737,0.0,0.0
araç aksesuarları,yüksek basınçlı 2 başlıklı su & köpük pompası 2 litre çok amaçlı kullanım su köpük püskürtücü,tulpar kimya,otomobil & motosiklet,0.7870073,0.9892578,0.20202020202020207,0.0,0.0
araç aksesuarları,mercedes w205 - w213 c / e serisi orta konsol ve bardaklık seti,amg tuning,otomobil & motosiklet,0.56115454,0.015426636,0.225,0.0,0.0
araç aksesuarları,araç altı yatma tahtası (6 tekerlekli),bernel,otomobil & motosiklet,0.7317102,0.8808594,0.4,0.0,0.5
araç aksesuarları,araç içi park telefon numarası fosforlu numaratör oto cam kartı,frt ottoman,otomobil & motosiklet,0.7704599,0.017303467,0.38095238095238093,0.0,0.5
araç aksesuarları,üçgen puskullu bayrak 45x60 1 adet kumaş bayrak,akyol,otomobil & motosiklet,0.5909767,0.047943115,0.28070175438596495,0.0,0.0
araç aksesuarları,koni torpido arkası pamuk iplikli havlusu koni torpido örtüsü,kara auto,otomobil & motosiklet,0.5218522,0.02279663,0.3076923076923077,0.0,0.0
araç aksesuarları,demir tozu  jant temizleyici 500 ml,smx,otomobil & motosiklet,0.0060359878,0.00032258034,0.1568627450980392,0.0,0.0
araç aksesuarları,kupon vites poları beyaz kapşonlu - özel üretim,store,otomobil & motosiklet,0.5267781,0.028274536,0.28125,0.0,0.0
araç aksesuarları,araba köpük püskürtme araç temizleme basınçlı oto yıkama pompası 2 litre (180 gr plastik malzeme),hansel,otomobil & motosiklet,0.36597067,0.013793945,0.38095238095238093,0.0,0.5
araç aksesuarları,2'li paket - numarasız numaratör - qr kodlu araç numaratörü - araç içi park telefon numarası (dikey),meo teknoloji,otomobil & motosiklet,0.7712208,0.011688232,0.38095238095238093,0.0,0.5
yemek tabağı,traverten 28 cm altın konik ayak sunumluk,akayev,ev & mobilya,0.7727784,0.97021484,0.2264150943396227,0.0,0.0
yemek tabağı,mermer 25 cm beyaz kalın cam fanus,akayev,ev & mobilya,0.08991487,0.00023055077,0.30434782608695654,0.0,0.0
yemek tabağı,bianco perla porselen zeytinlik - 28 cm,acar,ev & mobilya,0.68344766,0.009819031,0.23529411764705885,0.0,0.0
yemek tabağı,salata kasesi,narin,ev & mobilya,0.7118995,0.98339844,0.16,0.0,0.0
mama seti,zoo kapaklı çerez taşıma kabı aslan,skip hop,anne & bebek & çocuk,0.7821809,0.000116825104,0.22727272727272735,0.0,0.0
mama seti,river green beşli set (önlük+tabak+kase+bardak+kaşık),oioi,anne & bebek & çocuk,0.055748604,0.0037078857,0.19354838709677424,0.8,0.5
multimetre,dijital ölçü aleti buzzerli etc dt-9205a r11,etc,bahçe & elektrikli el aletleri,0.7774355,8.350611e-05,0.2222222222222223,0.0,0.0
musluk bataryası,5 yıl garantili aç kapa uzun kuğu mutfak eviye lavabo batsı (sıcak soğuk girişli),arya,banyo yapı & hırdavat,0.47172922,0.00028681755,0.24742268041237112,0.0,0.0
kadın şık ayakkabı,paris 207 toka detayli taşli ayakkabi,cananın pabuçları,ayakkabı,0.12154515,0.0017337799,0.43636363636363634,0.8,0.5
kadın şık ayakkabı,risa kadın fiyonk taşlı abiye topuklu ayakkabı,zenneshoes,ayakkabı,0.11844311,0.035827637,0.875,1.0,0.5
kadın şık ayakkabı,paris s siyah cam kırığı arkası açık stiletto kısa topuklu abiye ayakkabı,modabuymus,ayakkabı,0.4618905,0.2956543,0.6153846153846154,1.0,0.5
erkek baba gömlek,büyük beden ekoseli biyeli yaka düğmeli erkek gömlek,tudors,giyim,0.55596215,0.07171631,0.8275862068965517,1.0,0.5
timberland bot,adley way high top lace up sneaker,timberland,ayakkabı,0.16982424,9.173155e-05,0.2083333333333333,0.0,0.0
timberland bot,sprint trekker mid lace up waterproof sn tb0a6crbejk1,timberland,ayakkabı,0.40279675,0.00044083595,0.20895522388059704,0.0,0.0
timberland bot,motion access low lace up günlük ayakkabı renkli,timberland,ayakkabı,0.74967414,0.00011062622,0.2258064516129032,0.0,0.0
defacto kız çocuk ikili takım,kız bebek disney mickey & minnie yılbaşı temalı pijama takımı uzun kollu üst beli lastikli alt d7162,defacto,giyim,0.74747264,0.9941406,0.32558139534883723,0.8,0.5
paraşüt kumaş sırt çantası,mega polo kadin paraşut kumaş sirt ve omuz çantasi,gp gues polo,aksesuar,0.71144825,0.0014896393,0.6052631578947368,0.8,0.75
taktik pantolon,erkek siyah outdoor tactıcal pantolon 5-11 kalıplar dar olduğundan bir beden büyük alınız,5.11 tactical,giyim,0.57937,0.14416504,0.6956521739130435,1.0,0.5
pembe halı,oyun halısı aynalı çıngıraklı işıklı müzikli pembe unicorn çocuk gelişimine yardımcı bebek halısı,papaya,anne & bebek & çocuk,0.6745351,0.9902344,0.6666666666666665,0.0,0.0
motosiklet aksesuarları,18 parça motul sticker etiket 16x24 cm,motul,otomobil & motosiklet,0.10044064,0.0032100677,0.36065573770491804,0.0,0.0
motosiklet aksesuarları,rvell ferrari ikili damla sticker 5x5 beyaz 08,mkarakan,otomobil & motosiklet,0.08278892,0.005241394,0.318840579710145,0.0,0.0
motosiklet aksesuarları,black edition gümüş siyah 3d logo sticker 2 adet,redline grafik,otomobil & motosiklet,0.3667656,0.059539795,0.3380281690140845,0.0,0.0
ayçiçeği,"günlük planlayıcı a5 defter, notlar, yapılacaklar, esnek karton kapaklı, 100 günlük, ayçiçekli",eldesen tasarım,kırtasiye & ofis malzemeleri,0.7117574,0.056549072,0.13725490196078424,0.4,1.0
schneider,schneider kauçuk eğik topraklı erkek fiş 3201-302-0300,schneider electric,banyo yapı & hırdavat,0.64017326,0.076538086,1.0,1.0,1.0
schneider,schneider bvs1000i-gr 1000va line interactive kesintisiz güç kaynağı,schneider electric,elektronik,0.6634603,0.62109375,1.0,1.0,1.0
schneider,reco tukenmez beyaz govde sıyah refıl,schneider,kırtasiye & ofis malzemeleri,0.70190626,0.06451416,0.17391304347826092,0.0,0.0
schneider,schinider asetat kalem 10 lu,schneider,kırtasiye & ofis malzemeleri,0.64584845,0.12646484,0.4324324324324324,0.0,0.0
schneider,maxx 224m mavi asetat kalemi 10 lu,schneider,kırtasiye & ofis malzemeleri,0.78126067,0.13903809,0.1395348837209302,0.0,0.0
bebek düzenleyici,"keçe çocuk oyuncak/kirli çamaşır depolama sepeti, çok amaçlı saklama sepeti, morbunny serisi",mordesign,ev & mobilya,0.15719485,0.005844116,0.15841584158415842,0.0,0.0
bebek düzenleyici,5 adet kumaş çekmece içi akordiyon organizer-16x43x14 cm* 5 adet,she berrak,ev & mobilya,0.6493109,0.008575439,0.1891891891891892,0.0,0.0
ses bombası,"clip5, bluetooth hoparlör, ip67, siyah",jbl,elektronik,0.6837988,0.9902344,0.20408163265306128,0.0,0.0
ses bombası,ms-2202bt rgb kablosuz hoparlör - siyah 640140,newface,elektronik,0.74103177,0.9941406,0.2105263157894737,0.0,0.0
ses bombası,flip7 bluetooth hoparlör ip67 kırmızı,jbl,elektronik,0.7458617,0.9926758,0.1666666666666667,0.0,0.0
ses bombası,go 4 taşınabilir bluetooth hoparlör - mavi,jbl,elektronik,0.72628397,0.99365234,0.18867924528301885,0.0,0.0
ses bombası,jam + black bt hoparlör,grundig,elektronik,0.7244809,0.99365234,0.23529411764705885,0.0,0.0
ses bombası,b-q8 mikrofonlu kumandalı taşınabilir tekerlekli bluetooth hoparlör kahverengi,torima,elektronik,0.6797885,0.9609375,0.15730337078651688,0.0,0.0
ses bombası,go essential bluetooth hoparlör ipx7 siyah,jbl,elektronik,0.78325945,0.9926758,0.2264150943396227,0.0,0.0
ses bombası,800bt 4w bluetooth hoparlör siyah,sunowl,elektronik,0.7406592,0.9926758,0.22727272727272735,0.0,0.0
ses bombası,fp-337-s şömine görünümlü bluetooth hoparlör,sudora,elektronik,0.7416622,0.9926758,0.21818181818181814,0.0,0.0
ses bombası,flip 6 bluetooth pembe hoparlör,jbl,elektronik,0.72786754,0.9921875,0.2380952380952381,0.0,0.0
ses bombası,bluetooth hoparlör nostaljik radyo kablosuz speaker d58 ahşap,torima,elektronik,0.77479684,0.9941406,0.19444444444444442,0.0,0.0
ses bombası,soundcore select 4 go kablosuz bluetooth hoparlör - mavi - a31x1,anker,elektronik,0.74910265,0.9921875,0.21917808219178084,0.0,0.0
ses bombası,"goplay3, bluetooth hoparlör,gri",harman kardon,elektronik,0.62433064,0.9951172,0.19047619047619052,0.0,0.0
ses bombası,soundcore select 4 go kablosuz bluetooth hoparlör - mor - a31x1,anker,elektronik,0.7661195,0.99365234,0.2222222222222223,0.0,0.0
ses bombası,bluetooth hoparlör rgb işıklı mikrofonlu taşınabilir speaker d41 siyah,torima,elektronik,0.77632797,0.99316406,0.19753086419753088,0.0,0.0
aydın yüce,2026 kpss tarih video ders notları yayınları,benim hocam yayınları,kitap,0.38145947,0.9902344,0.14814814814814808,0.0,0.0
kedili,cute cat kız çocuk tüllü tunik tayt takım,denokids,giyim,0.056523625,0.00075531006,0.12765957446808515,0.0,0.0
dondurularak kurutulmuş meyve,en sevilenler 6’lı freeze dry meyve cipsi seti – doğal şekersiz atıştırmalık,sekafarm,süpermarket,0.0024784466,7.969141e-05,0.3047619047619048,1.0,0.3333333333333333
şişe,wavy 2'li yağlık sirkelik seti amber-yeşil (250 cc),bella maison,ev & mobilya,0.0010508123,7.724762e-05,0.10909090909090907,0.0,0.0
şişe,viking 1000 ml cam şişe ve yağlık kapaklı çift kapaklı,perotti,ev & mobilya,0.2966499,0.029815674,1.0,1.0,1.0
şişe,altın geyik akıtmaz tıpalı dibi çukur şeffaf cam şişe 2'li 750 ml yağdanlık yağlık,jenisa,ev & mobilya,0.7369691,0.5883789,1.0,1.0,1.0
şişe,10 adet çok amaçlı 50ml cam şişe küçük plastik kapak oda kokusu şişesi shot şişesi 10x50ml,makrobay,banyo yapı & hırdavat,0.4408073,0.055419922,1.0,1.0,1.0
şişe,eco slim şişe 750 ml 3'lü set suluk matara çevre dostu,tupperware,kırtasiye & ofis malzemeleri,0.2832817,0.0023593903,1.0,1.0,1.0
rotring set,tikky 0.5 versatil kalem mavi set,rotring,kırtasiye & ofis malzemeleri,0.7772045,0.9609375,0.42857142857142855,1.0,1.0
erkek saç şekillendirici,jagler hair wax no 5 doğal görünüm 150 ml,lisinya,aksesuar,0.14722887,0.029647827,0.21538461538461534,0.0,0.0
çift kişilik bataniye,lenta battaniye 200*220 antrasit,bed line,ev & mobilya,0.096548,8.028746e-05,0.41509433962264153,0.0,0.0
çift kişilik bataniye,kristal blankent çift kişilik battaniye 220x240- cappuccino,taç,ev & mobilya,0.017347077,8.958578e-05,0.7272727272727272,0.0,0.6666666666666666
star master,diş fırçası kabı diş fırçalığı fırçalık siyah renk model 18,star master,ev & mobilya,0.67298377,0.027633667,0.21212121212121218,0.0,0.0
star master,diş fırçası kabı diş fırçalığı fırçalık siyah renk model 17,star master,ev & mobilya,0.6228104,0.024841309,0.21212121212121218,0.0,0.0
elektrikli scooter aksesuarları,onvo 012x plus halı paspas cırt sabitlemeli gri siyah kenarlı,otoelit,spor & outdoor,0.46691254,0.00023055077,0.30434782608695654,0.0,0.0
zemzem,kadife kaplı çanta boy türkçeli yasini şerif (10 adet),zemzemhac,kitap,0.7626552,0.9951172,0.06666666666666671,0.0,0.0
erkek çocuk doğum günü konsepti,"spiderman / örümcek adam çocuk kostümü - süper kahraman kostümü, halloween ve parti kostümü",gadget gear,giyim,0.00018361033,8.749962e-05,0.3859649122807018,0.0,0.0
erkek ceketler,oversize süet ceket,delpino,giyim,0.7262017,0.09222412,0.5454545454545454,0.8,1.0
balo elbise,kadın çiçekli madonna yaka kemerli astarlı şifon uzun elbise,by saygı,giyim,0.7334641,0.7661133,0.7058823529411765,1.0,0.5
bebek kumralı saç boyası,koleston supreme kit 7/18 işıltılı inci küllü kumral,wella,kozmetik & kişisel bakım,0.5479584,0.011291504,0.3421052631578948,0.0,0.3333333333333333
ziya kadın ayakkabı,", kadın hakiki deri topuklu ayakkabı 1431030z16072 siyah",ziya,ayakkabı,0.7778998,0.6176758,0.8484848484848484,1.0,1.0
ziya kadın ayakkabı,", kadın hakiki deri topuklu ayakkabı 1511030z42922 siyah",ziya,ayakkabı,0.7611734,0.58740234,0.8484848484848484,1.0,1.0
ziya kadın ayakkabı,", kadın hakiki deri topuklu ayakkabı 1431030z4292 siyah",ziya,ayakkabı,0.7778998,0.62158203,0.8484848484848484,1.0,1.0
ziya kadın ayakkabı,", kadın hakiki deri topuklu ayakkabı 1431030z4292 bej",ziya,ayakkabı,0.649,0.57128906,0.8484848484848484,1.0,1.0
jack & jones erkek sweatshirt,kazak vester troyer kazak,jack & jones,giyim,0.78228384,0.00093984604,0.41666666666666663,0.0,0.0
jack & jones erkek sweatshirt,kazak gedruckt kazak,jack & jones,giyim,0.6892929,0.0013666153,0.2790697674418605,0.0,0.0
bulaşık,elastik musluk matı su tutucu düzenleyici kaydırmaz taban organizer mutfak banyo lavabo,bayev,ev & mobilya,0.10860429,0.0012693405,0.10638297872340431,0.0,0.0
banyo organizeri,kendinden yapışkanlı el yüz havlu askısı havlu organizeri terlik askısı delmeye gerek yok,doori,banyo yapı & hırdavat,0.46680924,0.0007381439,0.7692307692307692,1.0,0.5
banyo organizeri,askılı dolap içi düzenleyici sepet raf organizeri çok amaçlı düzenleyici deterjanlık şampuanlık,hilamingo home,ev & mobilya,0.4923406,0.03366089,0.7692307692307692,1.0,0.5
banyo organizeri,2'li akrilik şeffaf etiketli pamukluk makyaj pamuğu & pamuk 250ml,fbzhome,ev & mobilya,0.69969034,0.009521484,0.12345679012345684,0.0,0.0
dove,nemlendirici duş jeli hindistan cevizi yağı ve badem özü 450 ml,dove,kozmetik & kişisel bakım,0.7381215,0.18652344,0.08955223880597017,0.0,0.0
dove,hassas ve kuru cilde sahip bebekler için saç şampuanı 400 ml,dove,süpermarket,0.7287687,0.061431885,0.09375,0.0,0.0
dove,men clean comfort stick deodorant 50 ml x2,dove,kozmetik & kişisel bakım,0.6600619,0.095336914,0.13043478260869562,0.0,0.0
